,Glucosa (mg/dl),Ratio Cintura-Cadera,Cadera (pulg),Cintura (pulg),Altura (cm),IMC,Peso (Kg),Frecuencia Respiratoria (rpm),Ratio FSH/LH,Hemoglobina (g/dl),FSH (mUI/mL),LH (mUI/mL),Vitamina D3 (ng/mL),Tamaño Folículo Prom (I) (mm),Edad (años),Grupo Sanguíneo,Frecuencia Cardiaca (lpm),Progesterona (ng/mL),Presión Sistólica (mmHg),Prolactina (ng/mL),Tamaño Folículo Prom (D) (mm),Años Casada,Endometrio (mm),Presión Diastólica (mmHg),beta-HCG II (mUI/mL),Duración Ciclo (días),TSH (mUI/L),Ciclo (R/I),Num Folículos (I),Num Folículos (D)
Tamaño Folículo Prom (D) (mm),0.009699418862124465,0.17340549140133668,-0.10052910327612598,-0.01479718644227852,0.06102916567633251,-0.10624657920491605,-0.06781239388192017,-0.020327152590569147,0.03825675804045402,0.02772457174407018,-0.02007102464312145,-0.038926569231924696,-0.12157309896139946,0.3431142261212832,-0.08340490666959202,-0.021739896393799505,-0.036822265087895746,-0.03914426890042595,0.026408885322209773,0.10543612380343395,1.0,-0.10873528924518233,-0.042866095671969785,0.015255070552217606,-0.12321355544891154,-0.01453436294131884,-0.06916414432415259,0.015101347182327472,0.14506789743712803,0.1853877652552898
Años Casada,0.09479274613670409,-0.002231833226283254,0.03858348532392546,0.04027326820733817,-0.07308953463940551,0.08224433798178281,0.03897704015729935,0.08197445379847701,0.10631749706831742,0.020783952939681362,-0.05310076102103929,-0.1278174187281113,0.041902182445423396,-0.05218309446927404,0.6112949909851032,-0.020080522021760003,0.05824596541300136,0.008324616096075061,0.09728562459560267,-0.06087087346496085,-0.10873528924518233,1.0,-0.1264950694365243,0.01579973482194553,0.026874210111113666,0.1254010754525344,0.02303325763041546,-0.04689691373949092,-0.09112469289838458,-0.0841021377448594
Endometrio (mm),-0.051732998975692376,-0.025087511963472055,0.02857180931999082,0.01424773215896027,-0.05225324301474237,0.0058715149382297495,-0.012571603142211066,-0.06326212024449847,-0.02941684550561656,-0.06810098053373326,0.062096691982630174,0.046526453756820074,0.02811348515853997,0.010934689399127201,-0.1042271089360734,-0.011830693082075204,-0.059874912065528293,-0.04946892116815841,-0.0596819566661934,0.04450092511007572,-0.042866095671969785,-0.1264950694365243,1.0,-0.035933235157291195,0.07322626584371149,-0.015176118632667625,-0.05842214800680936,0.04350744837529925,0.08147912604656848,0.08090252797370041
Presión Diastólica (mmHg),-0.040395192624350186,0.042246280898918645,0.11548012581762096,0.13558768865315185,0.020899730861269894,0.14017335073376622,0.135642661000519,0.07336591379450233,-0.014490054781154917,0.005980498647356362,-0.03274486838350914,0.0001391902833515687,-0.04757827223518819,0.03740779609257294,0.0797703491251793,0.0762861865760144,-0.06244778443891855,-0.007643986878335185,0.19738812652466622,-0.012161043137101512,0.015255070552217606,0.01579973482194553,-0.035933235157291195,1.0,0.07714857647768031,-0.07118616744461737,0.010854700356826757,0.0764604698952028,0.005558412368260858,0.013749222060006316
beta-HCG II (mUI/mL),-0.07139729522553949,-0.09262145533144506,0.010862947895070932,-0.030976989872086278,0.027029371911836766,-0.010477941413944824,0.0018680261802225583,-0.001195303383393701,-0.09696555676662635,-0.07708432310275712,-0.08215663562659592,0.027586405820362772,0.04845955551084311,-0.01853692666522683,-0.03197563244576429,-0.039692471910426456,0.057942686162399254,0.040112053021417855,-0.005933461342003022,-0.048572266499233685,-0.12321355544891154,0.026874210111113666,0.07322626584371149,0.07714857647768031,1.0,0.04072929592821,-0.06844920951409379,-0.00929683470100884,-0.018380438683471566,-0.01674112924096073
Duración Ciclo (días),0.006459892699794859,-0.1296966715913598,0.040302720809367566,-0.023902796072687235,0.008643100862124761,-0.005412951032225562,-0.0015519846249890273,0.004992784764381709,0.1012965500832221,-0.050576956329814265,-0.06256232155292583,-0.11589074025438927,0.040860222835501094,-0.05564164342396028,0.05666945371776299,-0.007020575669065909,-0.005327688557357948,0.05888751154211529,-0.012486504077733428,0.012274808453589426,-0.01453436294131884,0.1254010754525344,-0.015176118632667625,-0.07118616744461737,0.04072929592821,1.0,0.041280464111864444,-0.20041463128204962,-0.08685049443358582,-0.16069769778368798
TSH (mUI/L),-0.02818730555653476,-0.017234725956382407,0.0005514476758043267,-0.00991177575872939,0.039397174788601094,0.04126633528229809,0.05049247594028385,0.024042471268993434,-0.07147798417031982,0.004836652626390867,-0.01151403307694743,0.047926038985343145,-0.024378623722390767,-0.023865221437357163,0.05847780344736582,0.07897700935452745,-0.03750841163450556,-0.023096517194630486,0.022785725956900236,0.050442068626167624,-0.06916414432415259,0.02303325763041546,-0.05842214800680936,0.010854700356826757,-0.06844920951409379,0.041280464111864444,1.0,-0.021511036121898502,0.017414699684062777,-0.005334844570882079
Ciclo (R/I),0.008364784602765216,-0.0028504583862297137,0.17600565744302504,0.16912810324855684,-0.017662160589065078,0.23342583014136004,0.20116496679441404,0.016969344097775885,-0.18269749904126445,0.03304291452254093,-0.03226915184323203,0.14769586196550458,-0.01531873193550532,0.047565539256986096,-0.08769474100278123,0.1226781192246344,0.11432376051350081,-0.036082321871323396,0.05129663867928306,0.015345764298887985,0.015101347182327472,-0.04689691373949092,0.04350744837529925,0.0764604698952028,-0.00929683470100884,-0.20041463128204962,-0.021511036121898502,1.0,0.2957676075191796,0.2503788172715557
Num Folículos (I),0.03351093134610787,0.018977851363153192,0.12267315952325697,0.13033751978380897,0.10667712320156329,0.1462831116233046,0.17677977624627106,0.06606499664366736,-0.06787188152451902,0.06097698481635574,-0.10216047123171025,-0.000622422720713579,0.05606221276373291,0.24267659142228692,-0.11335544498646721,0.05815698202408362,0.051481894484090684,-0.06103752871926893,0.023472549989816745,0.02375823223141971,0.14506789743712803,-0.09112469289838458,0.08147912604656848,0.005558412368260858,-0.018380438683471566,-0.08685049443358582,0.017414699684062777,0.2957676075191796,1.0,0.7993590212814681
Num Folículos (D),-0.002023044457827081,-0.007438846870274306,0.09753752839959594,0.0942213982901672,0.07673403786243048,0.10613077824990008,0.12631728938505585,0.008608059077802961,-0.04360719196847853,0.07212473915722348,-0.061905246846197734,-0.011662368438642814,0.0713686089769351,0.15294649166462257,-0.16226037278591288,0.011848539609967292,0.035047393412922664,-0.05936805064576521,0.006436518116713639,0.01940350900962982,0.1853877652552898,-0.0841021377448594,0.08090252797370041,0.013749222060006316,-0.01674112924096073,-0.16069769778368798,-0.005334844570882079,0.2503788172715557,0.7993590212814681,1.0
